rank,team,rank_change,points
1,France,2,1877.32
2,Spain,-1,1876.4
3,Argentina,-1,1874.81
4,England,0,1825.97
5,Portugal,1,1763.83
6,Brazil,-1,1761.16
7,Netherlands,0,1757.87
8,Morocco,0,1755.87
9,Belgium,0,1734.71
10,Germany,0,1730.37
11,Croatia,0,1717.07
12,Italy,1,1700.37
13,Colombia,1,1693.09
14,Senegal,-2,1688.99
15,Mexico,1,1681.03
16,USA,-1,1673.13
17,Uruguay,0,1673.07
18,Japan,1,1660.43
19,Switzerland,-1,1649.4
20,Denmark,1,1620.81
21,IR Iran,-1,1615.3
22,Türkiye,3,1599.04
23,Ecuador,0,1594.78
24,Austria,0,1593.45
25,Korea Republic,-3,1588.66
26,Nigeria,0,1585.09
27,Australia,0,1580.67
28,Algeria,0,1564.26
29,Egypt,2,1563.24
30,Canada,-1,1556.48
31,Norway,1,1550.94
32,Ukraine,-2,1546.88
33,Panama,0,1540.64
34,Côte d'Ivoire,3,1532.98
35,Poland,-1,1528.0
36,Russia,0,1525.6
37,Wales,-2,1524.29
38,Sweden,4,1514.77
39,Serbia,0,1508.65
40,Paraguay,0,1503.5
41,Czechia,2,1501.38
42,Hungary,-1,1500.58
43,Scotland,-5,1498.35
44,Tunisia,3,1483.05
45,Cameroon,0,1481.24
46,Congo DR,2,1478.35
47,Greece,-1,1475.82
48,Slovakia,-4,1473.94
49,Venezuela,1,1468.05
50,Uzbekistan,2,1465.34
51,Costa Rica,0,1459.9
52,Mali,2,1459.13
53,Peru,0,1455.87
54,Chile,1,1455.28
55,Qatar,1,1454.96
56,Romania,-7,1451.16
57,Iraq,1,1447.14
58,Slovenia,-1,1446.44
59,Republic of Ireland,0,1436.63
60,South Africa,0,1429.73
61,Saudi Arabia,0,1421.43
62,Burkina Faso,0,1412.49
63,Jordan,1,1391.45
64,Albania,-1,1388.06
65,Bosnia and Herzegovina,6,1385.84
66,Honduras,-1,1380.27
67,North Macedonia,-1,1372.04
68,United Arab Emirates,0,1370.47
69,Cabo Verde,-2,1366.13
70,Northern Ireland,-1,1362.16
71,Jamaica,-1,1358.0
72,Georgia,1,1350.18
73,Finland,2,1346.41
74,Ghana,-2,1346.31
75,Iceland,-1,1345.07
76,Bolivia,0,1329.42
77,Israel,0,1328.33
78,Kosovo,1,1318.83
79,Oman,-1,1313.46
80,Guinea,0,1300.01
81,Montenegro,1,1295.52
82,Curaçao,-1,1294.65
83,Haiti,0,1291.71
84,Syria,0,1288.56
85,Aotearoa New Zealand,0,1281.57
86,Bulgaria,1,1278.9
87,Gabon,-1,1272.51
88,Uganda,0,1264.09
89,Angola,0,1263.1
90,Benin,2,1258.98
91,Bahrain,-1,1258.53
92,Zambia,-1,1255.82
93,Thailand,3,1252.14
94,China PR,-1,1251.6
95,Palestine,0,1244.73
96,Guatemala,-2,1243.47
97,Belarus,1,1235.82
98,Luxembourg,4,1227.77
99,Vietnam,9,1225.68
100,El Salvador,-1,1225.26
101,Mozambique,0,1224.31
102,Trinidad and Tobago,-5,1222.94
103,Tajikistan,-3,1221.78
104,Madagascar,0,1203.76
105,Equatorial Guinea,2,1195.2
106,Armenia,-1,1191.42
107,Kyrgyz Republic,-4,1191.14
108,Lebanon,1,1187.96
109,Comoros,-3,1187.91
110,Kazakhstan,4,1182.96
111,Kenya,2,1182.23
112,Libya,0,1182.08
113,Tanzania,-3,1180.27
114,Niger,-3,1179.66
115,Mauritania,0,1170.72
116,The Gambia,0,1160.38
117,Sudan,0,1157.22
118,Korea DPR,1,1151.05
119,Sierra Leone,1,1148.98
120,Namibia,-2,1148.84
121,Togo,3,1147.31
122,Indonesia,0,1144.88
123,Faroe Islands,2,1137.14
124,Azerbaijan,3,1136.67
125,Suriname,-2,1132.43
126,Cyprus,2,1128.33
127,Malawi,-1,1128.03
128,Rwanda,2,1126.62
129,Estonia,0,1121.1
130,Zimbabwe,2,1118.12
131,Nicaragua,0,1115.13
132,Guinea-Bissau,1,1108.38
133,Congo,1,1105.96
134,Kuwait,1,1105.1
135,Philippines,1,1094.1
136,India,5,1091.03
137,Latvia,2,1090.57
138,Malaysia,-17,1086.22
139,Central African Republic,-1,1083.57
140,Liberia,0,1079.02
141,Turkmenistan,-4,1078.65
142,Burundi,3,1078.01
143,Dominican Republic,-1,1077.95
144,Ethiopia,3,1071.55
145,Lesotho,-2,1067.13
146,Botswana,-2,1063.63
147,Singapore,1,1059.53
148,Lithuania,-2,1058.42
149,Yemen,0,1049.49
150,Guyana,1,1049.32
151,New Caledonia,-1,1036.95
152,St Kitts and Nevis,2,1036.33
153,Solomon Islands,-1,1031.89
154,Fiji,1,1029.7
155,"Hong Kong, China",-2,1026.63
156,Puerto Rico,0,1026.11
157,Tahiti,0,1019.04
158,Myanmar,5,1011.88
159,Moldova,-1,1004.16
160,Vanuatu,0,997.01
161,Malta,0,987.73
162,Antigua and Barbuda,3,986.58
163,Grenada,1,982.57
164,Cuba,2,981.42
165,Eswatini,-6,979.01
166,Bermuda,3,976.87
167,St Lucia,0,976.71
168,Papua New Guinea,2,974.9
169,Afghanistan,-7,972.75
170,South Sudan,-2,970.94
171,St Vincent and the Grenadines,0,968.27
172,Maldives,1,954.93
173,Andorra,-1,945.34
174,Chinese Taipei,0,923.78
175,Montserrat,0,916.75
176,Nepal,6,914.54
177,Cambodia,2,911.54
178,Mauritius,-2,911.49
179,Barbados,-1,909.89
180,Belize,1,907.0
181,Bangladesh,-1,899.53
182,Dominica,1,897.69
183,Chad,-6,896.65
184,Eritrea,0,887.06
185,Laos,5,885.03
186,Bhutan,6,880.55
187,Mongolia,-2,879.75
188,Cook Islands,-2,877.53
189,Aruba,2,877.3
190,Samoa,-3,876.41
191,Sri Lanka,3,871.82
192,American Samoa,-8,871.61
193,Brunei Darussalam,-5,863.09
194,Macau,-1,858.03
195,Cayman Islands,0,855.45
196,São Tomé and Príncipe,-7,855.44
197,Djibouti,-1,853.58
198,Somalia,2,839.17
199,Tonga,-2,835.64
200,Timor-Leste,-2,825.64
201,Guam,0,825.43
202,Pakistan,-3,824.6
203,Gibraltar,-1,810.14
204,Seychelles,-1,804.16
205,Turks and Caicos Islands,-1,803.98
206,Liechtenstein,-1,803.57
207,Bahamas,-1,786.82
208,British Virgin Islands,0,782.14
209,US Virgin Islands,-2,779.76
210,Anguilla,-1,760.25
211,San Marino,-1,726.33
